UUIDFactura,Nombre_Receptor,RFC_Receptor,Nombre_Emisor,RFC_Emisor,Concepto,FechaEmision,Monto,MetodoPago,Vigencia,DivisaFactura
D1897E75B6304B1D8BC9CE47C80451CB,C**** S****S****,CSS010101**0,T**** T****S****,TTS010101**9,,16/08/2023,23065.09,PUE,No definido,MXN
CFDEABA63B0D47D8AAD1380FFB6EA234,C**** S****S****,CSS010101**0,B**** I****S****,BII010101**1,,02/11/2023,224.46,PUE,30/11/2023,MXN
CFA23D88A1ED40A8A8954BA839BB394E,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,,12/10/2023,62355.8,PPD,No definido,MXN
CE6AC4F82CC84C47A68F274EBDF52E93,C**** S****S****,CSS010101**0,J**** A****A****,AUV010101**4,,05/05/2023,5224,PUE,No definido,MXN
CD1733B3D5B64A67BB7B772B86FD41EC,C**** S****S****,CSS010101**0,B**** A****S****,BAI010101**8,,06/02/2023,0,PUE,No definido,MXN
CCC9C4B793FD47688055831100DC2B44,C**** S****S****,CSS010101**0,R**** A****D****,RAD010101**2,,15/10/2023,2072.63,PUE,31/10/2023,MXN
CBC3B5274CA04CB88B6DBC7EE6BE2F8D,V**** H****M****,MOM010101**4,C**** S****S****,CSS010101**0,,08/08/2023,3111.6,PUE,No definido,MXN
CA227BEACD8A4ACEB335A581BBDD9BF8,S**** B****F****,SBF010101**0,B**** S****M****,BSM010101**8,,01/04/2023,810.84,PUE,No definido,MXN
C9F39E1076F44B7D8354C20B6F98251E,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,03/05/2023,3948.41,PUE,No definido,MXN
C90CF16D57BC43DBB41940E0C5BB28D5,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,31/07/2023,40244.26,PUE,No definido,MXN
C7F1E848A1064DBCADC3D5A8090CEFC5,C**** S****S****,CSS010101**0,B**** I****S****,BII010101**1,,04/03/2023,167.04,PUE,No definido,MXN
C7D1F57A741C4F4DB7F243B4D1811F1D,R**** M****T****,MOT010101**1,C**** S****S****,CSS010101**0,,18/04/2023,5428.47,PUE,No definido,MXN
C6BEA50E16F74EEF84D20A2AF082D69E,C**** S****S****,CSS010101**0,I**** M****D****,IMS010101**5,,21/04/2023,9095.67,PUE,No definido,MXN
C67BF0750B0B47E38F7B8F7A54A0241B,C**** S****S****,CSS010101**0,I**** Y****C****,ICJ010101**A,,03/11/2023,16588,PUE,30/11/2023,MXN
C4F7D9AE564149FBAD5B451F868B259F,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,16/02/2023,3948.41,PUE,No definido,MXN
C387BBAA44794C8CABCE8E6D98281531,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,16/05/2023,24708,PUE,No definido,MXN
C338289AE1424A79959F9432AE9A68D9,C**** S****S****,CSS010101**0,B**** N****D****,BNM010101**1,,03/03/2023,0,PUE,No definido,MXN
C329C20F08194B43BAA91ABF8349C090,C**** S****S****,CSS010101**0,C**** C****O****,CCO010101**5,,31/08/2023,66816,PUE,No definido,MXN
C1DF99214DAC4DD888CC5B3060E78977,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,31/01/2023,46991.63,PUE,No definido,MXN
C1343EBE323E41749AC8F32B2C59BAEC,C**** S****S****,CSS010101**0,I**** Y****C****,ICJ010101**A,,29/09/2023,11952.64,PUE,No definido,MXN
