idTransaccion,Empresa,Fecha,Hora,Banco,Cuenta,Concepto,Monto,Cargo,Abono,Moneda,MontoPosterior,Referencia,TipoCuenta,ClaveRastreo,TipoMovimiento,BancoEmisor,BancoReceptor,CuentaEmisora,CuentaReceptora,AliasCuenta,NombreEmisor,RFCEmisor,NombreReceptor,RFCReceptor,CEP_Dia,CEP_Mes,CEP_Anio,CEP_Hora,CEP_ClaveRastreo,CEP_Amount,CEP_IVA,CEP_Concepto,CEP_RFCReceptor,CEP_NombreReceptor,CEP_CuentaReceptora,CEP_BancoReceptor,CEP_RFCEmisor,CEP_NombreEmisor,CEP_CuentaEmisora,CEP_BancoEmisor,Categoria
9c9023b67b6aa0d8f7cb8fd09cd58c6e,Empresa A,15/08/23,0:00:00,INBURSA,INBURSA ****0900,1.14599E+17,209963.72,209963.72,0,MXN,0,6121839,Cheques,036INBU15082023125175517,Egreso interbancario,INBURSA,040012|BBVA MEXICO,3.61805E+16,1.218E+16,CodeINB,NA,NA,Empresa X Talento,NA,15,8,2023,6:08:27,036INBU15082023125175517,209963.72,0,1.14599E+17,EXTA010101X01,Empresa X Talento,1.218E+16,BBVA BANCOMER,EMA010101X01,Empresa A SC,3.61805E+16,INBURSA,NA
8da88d6640af2ccc69a592ea61440930,Empresa A,15/08/23,0:00:00,BANAMEX,BANAMEX ****3404,JSHandle:COBRO DE COMISION 322700361651 PQPyME0,490,490,0,MXN,34411.38,2700361651,Cheques,NA,Egreso,BANAMEX,NA,2.1807E+15,NA,CBMX3404,Empresa A SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178a6b78d670d3e56b36f1a0f4a4ca35,Empresa A,15/08/23,0:00:00,INBURSA,INBURSA ****0900,Nom,3111.6,3111.6,0,MXN,0,2023081,Cheques,036INBU15082023125308571,Egreso interbancario,INBURSA,040012|BBVA MEXICO,3.61805E+16,1.2438E+16,CodeINB,NA,NA,MATHA M R,NA,15,8,2023,16:24:58,036INBU15082023125308571,3111.6,0,Nom,MOR010101X01,MARTHA  M R,1.2438E+16,BBVA BANCOMER,EMA010101X01,Empresa A SC,3.61805E+16,INBURSA,NA
dbb9a2862c18b3b1c0f09e20985edbeb,Empresa A,15/08/23,0:00:00,BANAMEX,BANAMEX ****3404,JSHandle:COBRO DE IVA 322700361651 PQPyME0,78.4,78.4,0,MXN,34332.98,2700361651,Cheques,NA,Egreso,BANAMEX,NA,2.1807E+15,NA,CBMX3404,Empresa A SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6102071d150f4831e825b25c62bfb619,Empresa A,15/08/23,0:00:00,INBURSA,INBURSA ****0900,Nom,5144.06,5144.06,0,MXN,0,2023081,Cheques,036INBU15082023125308576,Egreso interbancario,INBURSA,040002|BANAMEX,3.61805E+16,2.1807E+15,CodeINB,NA,NA,JUAN A BÑOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072a14038ba6445d8cf7dbfe78de6320,Empresa A,15/08/23,0:00:00,INBURSA,INBURSA ****0900,nom,3111.6,3111.6,0,MXN,0,2023081,Cheques,036INBU15082023125308575,Egreso interbancario,INBURSA,040012|BBVA MEXICO,3.61805E+16,1.218E+16,CodeINB,NA,NA,ALAN E R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d45169d43a6b0bc2900236ecdea01942,Empresa A,15/08/23,0:00:00,INBURSA,INBURSA ****0900,98920231408,39926.23,39926.23,0,MXN,0,6121868,Cheques,036INBU15082023125176246,Egreso interbancario,INBURSA,040062|AFIRME,3.61805E+16,6.218E+16,CodeINB,NA,NA,Empresa X Desempeno,NA,15,8,2023,6:08:38,036INBU15082023125176246,39926.23,0,98920231408,EXS010101X01,Empresa X Desempeno,6.218E+16,AFIRME,EMA010101X01,Empresa A SC,3.61805E+16,INBURSA,NA
9c71628aa81242c05c14f398f669a7a4,Empresa A,15/08/23,0:00:00,INBURSA,INBURSA ****0900,nom,5427.54,5427.54,0,MXN,0,2023081,Cheques,036INBU15082023125308572,Egreso interbancario,INBURSA,040002|BANAMEX,3.61805E+16,2.1809E+15,CodeINB,NA,NA,RENE M T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e6e74d52351a348caf8446b57286dbca,Empresa A,15/08/23,0:00:00,INBURSA,INBURSA ****0900,nom,3947.85,3947.85,0,MXN,0,2023081,Cheques,036INBU15082023125308577,Egreso interbancario,INBURSA,040002|BANAMEX,3.61805E+16,2.13345E+15,CodeINB,NA,NA,DANIEL M L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
796b65fc55053d0ce1641532e3ad8e2c,Empresa A,15/08/23,0:00:00,INBURSA,INBURSA ****0900,nom,3111.6,3111.6,0,MXN,0,2023081,Cheques,036INBU15082023125308570,Egreso interbancario,INBURSA,040002|BANAMEX,3.61805E+16,2.1807E+15,CodeINB,NA,NA,VICTOR M M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
